Platform,Model Name,price,color,Model Code,Frame,Fork,Headset,Rear Derailleur,Front Derailleur,Shifters,Chain,Crank,Rear Cogs,Bottom Bracket,Brakes,Brake Levers,Front Hub,Rear Hub,Rims,Spokes,Tire Size,Wheel Size,Tires,Front Tire,Rear Tire,Handlebar,Stem,Grips,Saddle,Seatpost,Wheel Sensor,Extra 1,image_url,Hubs,Ingestion Hazard,Rear Shock,Drive Unit,Battery,Charger,Display,Certifications,Brake Type
Scalpel HT,Scalpel HT Hi-MOD Ultimate,"$11,000",Tinted Red,C25101U,"Scalpel HT Hi-MOD Carbon, Proportional Response Design, PF30-83, tapered head tube, 55mm chainline, Speed Release 12mm thru axle w/UDH hanger","Lefty Ocho 120 Carbon, 110mm, Chamber Damper with remote lockout, OppO Spring System, tapered steerer, 50mm offset","Integrated, 1-1/8 to 1.5"", sealed angular contact bearings",SRAM XX1 Eagle AXS,,"SRAM Eagle AXS, 12-speed","SRAM XX1 Eagle, Rainbow, 12-speed","SRAM XX1 Eagle DUB, 34T, 55mm chainline","SRAM XG-1299, XX1 Eagle, Rainbow, 10-52, 12-speed",SRAM DUB PF30 MTB83,"SRAM Level Ultimate hydraulic disc, 180/160 CenterLine X rotors",SRAM Level Ultimate hydraulic disc,,,"HollowGram 25, Superlight Hi-Impact Carbon, 28h, 25mm inner width, tubeless ready","DT Swiss Competition Race, straight-pull",2.25,29,"(F) Schwalbe Racing Ray EVO, 29x2.25"", SnakeSkin, Addix Speedgrip, tubeless ready, (R) Schwalbe Racing Ralph EVO, 29x2.25"", SnakeSkin, Addix Speed, tubeless ready","Schwalbe Racing Ray EVO, 29x2.25"", SnakeSkin, Addix Speedgrip, tubeless ready","Schwalbe Racing Ralph EVO, 29x2.25"", SnakeSkin, Addix Speed, tubeless ready","Cannondale 1 Flat, Carbon, 31.8mm, 9° backsweep, 760mm","Cannondale 1, 7075 Alloy, 1-1/8"", 31.8, 7°",Cannondale XC Silicone,"Prologo Dimension NDR, Tirox rails","Cannondale C1 Carbon, 27.2x400mm",Cannondale Wheel Sensor,Tubeless valve stems,https://embed.widencdn.net/img/dorelrl/xahpgr3hnb/800px@1x/C22_C25101U_SCALPEL_HM_ULT_TRD_D5.jpg?color=FEF3F3&q=90,"(F) HollowGram Lefty 60 / (R) HollowGram w/DT Swiss Star Ratchet internals, 12x148mm",WARNING - INGESTION HAZARD: This product contains a button cell or coin battery. DEATH or serious injury can occur if ingested. A swallowed button cell or coin battery can cause Internal Chemical Burns in as little as 2 hours. KEEP new and used batteries OUT OF REACH OF CHILDREN. Seek immediate medical attention if a battery is suspected to be swallowed or inserted inside any part of the body.,,,,,,,
Scalpel,Scalpel 1,"$9,500",Rally Red,C24254U,"Scalpel, Series 1 Carbon construction, 120mm travel, Proportional Response Suspension and Geometry, FlexPivot Chainstay, full internal cable routing, 73mm BSA, 1.5"" headtube with 1-1/8"" upper reducer/internal cable guide, 148x12mm thru axle, 55mm chainline, UDH, post-mount disc – 160mm native","Fox Float Factory 34 SC, Kashima, 120mm, 15x110mm thru-axle, tapered steerer, 44mm offset",Acros ICR,"SRAM XO Eagle AXS, T-Type",,SRAM AXS T-Type Pod Controller,"SRAM XO, T-Type, 12-speed","SRAM XO T-Type, 34T","SRAM XO Eagle, 10-52, T-Type, 12-speed",SRAM DUB BSA 73mm MTB Wide,"SRAM Level Silver Stealth, 4-piston hydraulic disc, SRAM HS2 180/160mm rotors",SRAM Level Silver Stealth,,,"DT Swiss XRC 1501 SPLINE ONE, carbon, 30mm inner width, hookless, TSS tubeless ready","DT Competition Race, straight pull",2.4,29,"(F) Maxxis Rekon Race WT, 29x2.4"", EXO Protection, tubeless ready / (R) Maxxis Aspen WT, 29x2.4"", EXO Protection, tubeless ready",,,"SystemBar XC-One Flat, carbon, integrated bar/stem, internal cable routing, 5° upsweep, 8° backsweep, 760mm width, -6° stem, 1-1/8"" clamp","SystemBar XC-One Flat, carbon integrated bar/stem",Cannondale XC Silicone,"Prologo Dimension NDR, Tirox rails","Fox Transfer SL Factory, Kashima, 31.6, 125mm (S), 150mm (M-XL)",Cannondale Wheel Sensor,,https://embed.widencdn.net/img/dorelrl/1gyvkv7iiw/800px@1x/C24_C24254U_Scalpel_Crb_1_RRD_D6.jpg?color=eff2f4&q=90,"DT Swiss 240 15x110, 6-bolt (F) / 240 Ratchet EXP 36, 6-bolt, XD driver (R)",WARNING - INGESTION HAZARD: This product contains a button cell or coin battery. DEATH or serious injury can occur if ingested. A swallowed button cell or coin battery can cause Internal Chemical Burns in as little as 2 hours. KEEP new and used batteries OUT OF REACH OF CHILDREN. Seek immediate medical attention if a battery is suspected to be swallowed or inserted inside any part of the body.,"Fox Float SL Factory EVOL SV, Kashima, 190x45, custom tune",,,,,,
Synapse Carbon,Synapse Carbon 1 RLE,"$9,050",Stealth Grey,C12102U,"Synapse Carbon, SmartSense enabled, Proportional Response size-specific design, BSA threaded BB, flat mount brake, 12x142mm thru-axle, thru-tube internal cable routing with Switch Plate, removable fender bridge, hidden rack/fender mounts","Synapse Carbon, integrated crown race, Proportional Response size-specific design, 12x100mm thru-axle, thru-tube internal routing, hidden fender mounts","Synapse Carbon Sealed Bearing, integrated, 1-1/4""-1-1/8""",Shimano Dura-Ace Di2 R9250,"Shimano Dura-Ace Di2 R9250, braze-on","Shimano Dura-Ace Di2 R9270 hydraulic disc, wireless, 2x12","Shimano Dura-Ace R9100, 12-speed","Shimano Dura-Ace R9200, 50/34","Shimano Dura-Ace R9100, 11-34, 12-speed",Shimano Dura-Ace R9100 BSA,"Shimano Dura-Ace Di2 R9270 hydraulic disc, 160/160mm RT900 rotors",Shimano Dura-Ace Di2 R9270 hydraulic disc,,,"HollowGram 45 SL KNØT, Carbon, 20h front, 24h rear, 45mm deep, 21mm inner width, tubeless ready","DT Swiss Aerolite, straight-pull",30,700c,"Vittoria Corsa tan wall, 700x30c","Vittoria Corsa tan wall, 700x30c","Vittoria Corsa tan wall, 700x30c","HollowGram SAVE SystemBar, Carbon, 8 deg. pitch adjust","HollowGram SAVE, Alloy, -6°",Fabric Knurl Bar Tape,"Fizik Tempo Argo R3, 150mm width, K:ium rails","HollowGram SAVE Carbon SmartSense, 27.2x350mm (48-56), 400mm (58-61)",Cannondale Wheel Sensor,"SmartSense with Lights and Radar, Trainer-compatible thru-axle",/-/media/cannondale/synapse-carbon/uncategorized/c22_c12102u_synapse_crb_1_rle_sgy_d8.ashx,"(F) HollowGram KNØT, sealed bearing 12x100mm centerlock / (R) HollowGram KNØT, 12x142mm centerlock w/ DT Swiss 240 internals",WARNING - INGESTION HAZARD: This product contains a button cell or coin battery. DEATH or serious injury can occur if ingested. A swallowed button cell or coin battery can cause Internal Chemical Burns in as little as 2 hours. KEEP new and used batteries OUT OF REACH OF CHILDREN. Seek immediate medical attention if a battery is suspected to be swallowed or inserted inside any part of the body.,,,,,,,
Scalpel SE,Scalpel Carbon SE Ultimate,"$8,800",Jade,C24302M,"Scalpel SE Hi-MOD Carbon, 120mm travel, Proportional Response Tuned, FlexPivot Chainstay, PF30-83, Tapered Headtube, Speed Release 12mm thru axle, SRAM UDH, 55mm chainline, Stash compatible","Lefty Ocho 120 Carbon, 120mm, Chamber Damper with remote lockout, OppO Spring System, tapered steerer, 50mm offset","Integrated Sealed Bearing, Tapered",SRAM X01 Eagle AXS,,"SRAM Eagle AXS, 12-speed","SRAM GX Eagle, 12-speed","SRAM X1 Carbon Eagle, 34T, 55mm chainline","SRAM XG-1295, X01 Eagle, 10-52, 12-speed",SRAM DUB PF30 MTB83,"SRAM Level TLM hydraulic disc, 160/160mm CenterLine rotors",SRAM Level TLM hydraulic disc,,,"HollowGram 25, Superlight Hi-Impact Carbon, 28h, 25mm inner width, tubeless ready","DT Swiss Competition Race, straight-pull",2.35,29,"(F) Maxxis Ardent Race, 29x2.35"", EXO Protection, tubeless ready / (R) Maxxis Rekon Race, 29x2.35"", EXO Protection, tubeless ready","Maxxis Ardent Race, 29x2.35"", EXO Protection, tubeless ready","Maxxis Recon Race, 29x2.35"", EXO Protection, tubeless ready","Cannondale 1 Riser, Carbon, 31.8mm, 9° sweep, 4° rise, 780mm","Cannondale 1, 7075 Alloy, 1-1/8"", 31.8, 7°",Cannondale XC Silicone,"Fabric Scoop Flat Race, hollow titanium rails","Cannondale DownLow Dropper, internal routing, 31.6, 125mm (S), 150mm (M-XL)",Cannondale Wheel Sensor,"Stash Kit (Fabric 8-in-1 Mini Tool and Dynaplug tubeless puncture repair tool), Tubeless valve stems",https://embed.widencdn.net/img/dorelrl/ybwgl6tnks/800px@1x/C22_C24302M_Scalpel_Crb_SE_ULT_JDE_D6.jpg?color=EBF0EA&q=90,"(F) HollowGram Lefty 60 / (R) HollowGram w/DT Swiss Star Ratchet internals, 12x148mm",WARNING - INGESTION HAZARD: This product contains a button cell or coin battery. DEATH or serious injury can occur if ingested. A swallowed button cell or coin battery can cause Internal Chemical Burns in as little as 2 hours. KEEP new and used batteries OUT OF REACH OF CHILDREN. Seek immediate medical attention if a battery is suspected to be swallowed or inserted inside any part of the body.,"RockShox SIDLuxe Ultimate, 2-Pos mode adjust, adjustable rebound",,,,,,
Moterra SL,Moterra SL 1,"$8,750",Raw,C65094U,"Moterra SL, Series 1 Carbon construction, 150mm travel, Proportional Response Tuned Suspension, FlexPivot Chainstay, direct mount internal battery, engineered plastic skid plate, 55mm chainline, DirectLine internal cable routing, 29” FlipChip, 148x12mm Maxle thru-axle, UDH hanger, 200mm native post mount brake, 1-1/8” – 1.5” tapered headtube, angle adjust headset","Fox Float Factory 36, 160mm travel, Grip2 Damper, Kashima coating, 15x110mm Kabolt thru-axle, tapered steerer, 44mm offset",Acros Adjustable Angle (1.2°),"SRAM XO Eagle AXS, T-Type",,SRAM AXS T-Type POD Controller,"SRAM XO Eagle, T-Type, Flattop","e*thirteen e*spec Plus, 165mm, 34T","SRAM XO Eagle, 10-52, T-Type, 12-speed",,"SRAM Code Silver Stealth, 200mm HS2 rotors",SRAM Code Silver Stealth,,,"DT Swiss XM 1700 Spline, 30mm inner width, TC tubeless ready","DT Swiss Competition, straight pull",2.5,29,"(F) Maxxis DHF, 29x2.5 "", 3C, EXO+, tubeless ready / (R) Maxxis Dissector , 27.5x2.4"", 3C, EXO+, tubeless ready",,,"HollowGram SAVE riser bar, Carbon, 35mm clamp, 30mm rise, 8° sweep, 5° rise, 780mm","Cannondale 1, 7075 Alloy, 1-1/8"", 35mm, 0°",Cannondale TaperRidge,"Fizik Terra Ridon X3, 145mm, Wingflex, K:ium Mobius rail 7x7mm","Cannondale DownLow Dropper, internal routing, 31.6, 150mm (S), 170mm (M-XL)",Cannondale Wheel Sensor,,https://embed.widencdn.net/img/dorelrl/veylwhmnvl/800px@1x/C24_C65094U_Moterra_Neo_SL_1_RAW_D6.jpg?color=f0efea&q=90,"(F) DT Swiss 350, 15x110mm / (R) DT Swiss 350 Ratchet System 36 SL, 12x148mm",WARNING - INGESTION HAZARD: This product contains a button cell or coin battery. DEATH or serious injury can occur if ingested. A swallowed button cell or coin battery can cause Internal Chemical Burns in as little as 2 hours. KEEP new and used batteries OUT OF REACH OF CHILDREN. Seek immediate medical attention if a battery is suspected to be swallowed or inserted inside any part of the body.,"Fox Float X Factory, 2 pos adj, EVOL LV, 210x55mm","Shimano EP801, 85Nm, Custom Tuned, Eco, Trail 1, Trail 2, Boost Modes",Custom 601Wh battery,Custom 4A,"Shimano SC-EM800 Cycle Computer, Bluetooth LE Compatible",UL2849,
Synapse Neo,Synapse Neo,"$8,500",Black,C67114U,"Synapse Neo Carbon, Series 2 Carbon construction, internal downtube battery, integrated cable routing, 148mm dropout spacing, 12mm thru-axle, SAVE, flat mount disc, Pletscher kickstand mount (30mm)","Synapse Neo Carbon, Series 2 Carbon construction, 1-1/8"" to 1.5"" Delta steerer, flat mount disc, internal routing, 12x110 thru-axle","Integrated, 1-1/8"" - 1.5""","Shimano Ultegra Di2 R8150, 12-speed","Shimano Ultegra Di2 8150, braze-on","Shimano Ultegra Di2 8150, 12-speed","Shimano Ultegra, 12-speed","FSA Bosch E-Bike, 50/34","Shimano Ultegra, 11-34, 12-speed",,"Shimano Ultegra Di2 hydraulic disc, 160/160mm MT800 rotors",Shimano Ultegra Di2 hydraulic disc,,,"HollowGram R 45, Carbon, 24h front, 28h rear, 50mm deep, 21mm inner width, tubeless ready","Stainless Steel, 14g",30,700,"Vittoria Corsa, 700x30c",,,Vision Metron Aero,"Cannondale C1 Conceal, Alloy, 31.8, -6°","Fabric Knurl tape, 3mm","Fizik Tempo Argo R5, 150mm width, S-alloy rails","Cannondale 1, SAVE, UD Carbon, 25.4x350mm (XS-S), 400mm (M-XL)",,,https://embed.widencdn.net/img/dorelrl/umer31gkbp/800px@1x/C24_C67114U_Synapse_Neo_US_Speed_BLK_D7.jpg?color=f3f3f3&q=90,"(F) HollowGram, sealed bearing 12x110mm centerlock / (R) HollowGram 3-pawl, sealed bearing, 12x148mm centerlock",,,"Bosch Performance Line Sprint, 28mph",Bosch Compact Powertube 400Wh,Bosch 2A,Bosch Kiox 500,,
SuperSix EVO,SuperSix EVO Hi-MOD 2,"$8,300 - $8,500",Matte Black,C11202U,"SuperSix EVO Hi-MOD Carbon, integrated cable routing w/ Switchplate, 12x142 Syntace thru-axle, BSA 68mm threaded BB, flat mount disc, integrated seat binder, SmartSense compatible","SuperSix EVO Hi-MOD Carbon, integrated crown race, 12x100mm Syntace thru-axle, flat mount disc, internal routing, 1-1/8"" to 1-1/4"" Delta steerer, 55mm offset (44-54cm), 45mm offset (56-61cm)","Integrated, 1-1/8"" - 1-1/4""",Shimano Ultegra Di2 R8150,Shimano Ultegra Di2 R8150,"Shimano Ultegra Di2 R8170, wireless, 2x12","Shimano Ultegra, 12-speed","Shimano Ultegra R8100, 52/36","Shimano Ultegra R8100, 11-30, 12-speed",Shimano BSA 68,"Shimano Ultegra R8170, 160/140mm MT800 rotors",Shimano Ultegra Di2 R8170 hydraulic disc,,,"HollowGram R-SL 50, Carbon, 20h front, 24h rear, 50mm deep, 21mm inner width, tubeless ready","DT Swiss Aerolite, straight-pull",25,700,"Continental Grand Prix 5000, 700x25c",,,"Vision Trimax Carbon Aero, 31.8mm","Cannondale C1 Conceal, Alloy, 31.8, -6°","Fizik Tempo Bondcush Soft, 3mm","Prologo Dimension TiRox NDR, Titanium Rails","Cannondale C1 Aero 40 Carbon, 0mm offset (44-48cm), 20mm offset (51-61cm)",Cannondale Wheel Sensor,"Cannondale Gripper Aero Bottles & ReGrip Aero Cages, Shimano EC300 charging connector",https://embed.widencdn.net/img/dorelrl/emuohn4s6s/800px@1x/C23_C11202U_SuperSix_EVO_HM_2_BBQ_D7.jpg?color=f7f7f7&q=90,"(F) HollowGram, sealed bearing 12x100mm centerlock / (R) HollowGram, 12x142mm centerlock w/ DT Swiss 240 internals",WARNING - INGESTION HAZARD: This product contains a button cell or coin battery. DEATH or serious injury can occur if ingested. A swallowed button cell or coin battery can cause Internal Chemical Burns in as little as 2 hours. KEEP new and used batteries OUT OF REACH OF CHILDREN. Seek immediate medical attention if a battery is suspected to be swallowed or inserted inside any part of the body.,,,,,,,
Scalpel,Scalpel Hi-MOD 1,"$7,999.98$8,600",White,C24202M,"Scalpel Hi-Mod Carbon, 100mm travel, Proportional Response Tuned, FlexPivot Chainstay, PF30-83, Tapered Headtube, Speed Release 12mm thru axle, 55mm chainline, Stash compatible, UDH hanger","Lefty Ocho Carbon, 100mm, Chamber Damper with remote lockout, OppO Spring System, tapered steerer, 55mm offset","Integrated Sealed Bearing, Tapered",SRAM X01 Eagle AXS,,"SRAM Eagle AXS, 12-speed","SRAM GX Eagle, 12-speed","SRAM X1 Carbon Eagle, 34T, 55mm chainline","SRAM XG-1295, X01 Eagle, 10-52, 12-speed",SRAM DUB PF30 MTB83,"SRAM Level TLM hydraulic disc, 180/160mm CenterLine rotors",SRAM Level TLM hydraulic disc,,,"HollowGram 25, Superlight Hi-Impact Carbon, 28h, 25mm inner width, tubeless ready","DT Swiss Competition Race, straight-pull",2.35,29,"(F) Schwalbe Racing Ray EVO, 29x2.25"", SnakeSkin, Addix Speedgrip, tubeless ready, (R) Schwalbe Racing Ralph EVO, 29x2.25"", SnakeSkin, Addix Speed, tubeless ready","Schwalbe Racing Ray EVO, 29x2.25"", SnakeSkin, Addix Speedgrip, tubeless ready / (R) Schwalbe Racing Ralph EVO, 29x2.25"", SnakeSkin, Addix Speed, tubeless ready","Schwalbe Racing Ralph EVO, 29x2.25"", SnakeSkin, Addix Speed, tubeless ready","Cannondale 1 Flat, Carbon, 31.8mm, 9° backsweep, 760mm","Cannondale 1, 7075 Alloy, 1-1/8"", 31.8, 7°",Cannondale XC Silicone,"Prologo Dimension NDR, Tirox rails","Cannondale 1, UD Carbon, 31.6x400mm",Cannondale Wheel Sensor,"Stash Kit (Fabric 8-in-1 Mini Tool and Dynaplug tubeless puncture repair tool), Tubeless valve stems",https://embed.widencdn.net/img/dorelrl/8k3qzlyhek/800px@1x/C22_C24202M_Scalpel_HM_1_WHT_D6.jpg?color=efeeee&q=90,"(F) HollowGram Lefty 60 / (R) HollowGram w/DT Swiss Star Ratchet internals, 12x148mm",WARNING - INGESTION HAZARD: This product contains a button cell or coin battery. DEATH or serious injury can occur if ingested. A swallowed button cell or coin battery can cause Internal Chemical Burns in as little as 2 hours. KEEP new and used batteries OUT OF REACH OF CHILDREN. Seek immediate medical attention if a battery is suspected to be swallowed or inserted inside any part of the body.,"Fox Float SL Factory EVOL SV, Kashima, 190x42.5, custom tune, remote lockout",,,,,,
Topstone Carbon,Topstone Carbon 1 Lefty,"$7,850",Rally Red,C15102U,"Topstone Carbon, Kingpin suspension system, SmartSense compatible, Proportional Response construction, 12x142mm thru-axle, 27.2 dropper post ready, BSA 68mm threaded BB, DirectLine internal cable routing, removable fender bridge, multiple gear/bottle mounts","Lefty Oliver Carbon, 30mm travel, lockout, Chamber Damper w/ All-Over tune, ISO High-Ride air spring, tapered steerer, 700c, 55mm offset","Integrated, Carbon, 1-1/8"" - 1-1/2""",SRAM Force eTap AXS XPLR,,"SRAM Force eTap AXS, 12-speed","SRAM Force, 12-speed","SRAM Force Direct Mount, 40T","SRAM XG-1271 XPLR, 10-44, 12-speed",SRAM DUB BSA Road 68 Wide,"SRAM Force eTap AXS hydraulic disc, 160/160mm CenterLine rotors",SRAM Force eTap AXS,,,"HollowGram G-S 27 Carbon, 700c, 27mm internal width, 21mm deep, 28h, hookless, tubeless compatible","Formula Grand Forza, double butted",44,700c,"WTB Raddler TCS Light, 700x44c, tubeless ready (Europe/UK - Vittoria Mezcal III 700x44c ANT tubeless compatible)","WTB Raddler TCS Light, 700x44c, tubeless ready (Europe/UK - Vittoria Mezcal III 700x44c ANT tubeless compatible)","WTB Raddler TCS Light, 700x44c, tubeless ready (Europe/UK - Vittoria Mezcal III 700x44c ANT tubeless compatible)","Cannondale 2 ShortDrop, 7050 alloy, 12 deg flare drop","Cannondale 1, 7050 Alloy, -7°","Fizik Solocush Soft, 3mm","Fizik Terra Argo X3, kium rails","SAVE Carbon, 27.2x350mm (XS-L), 400mm (XL)",Cannondale Wheel Sensor,StrapRack tool/stuff holder,https://embed.widencdn.net/img/dorelrl/dxaywnowhm/800px@1x/C22_C15102U_Topstone_Crb_1_Lefty_RRD_D3.jpg?color=eff2f4&q=90,"(F) HollowGram, Lefty, centerlock / (R) HollowGram 12x142mm w/ DT Swiss 350 internals, centerlock",WARNING - INGESTION HAZARD: This product contains a button cell or coin battery. DEATH or serious injury can occur if ingested. A swallowed button cell or coin battery can cause Internal Chemical Burns in as little as 2 hours. KEEP new and used batteries OUT OF REACH OF CHILDREN. Seek immediate medical attention if a battery is suspected to be swallowed or inserted inside any part of the body.,,,,,,,
Topstone Carbon,Topstone Carbon 1 RLE,"$7,850",Black Pearl,C15052U,"Topstone Carbon, Kingpin suspension system, SmartSense equipped, Proportional Response construction, 12x142mm thru-axle, 27.2 dropper post ready, BSA 68mm threaded BB, DirectLine internal cable routing, removable fender bridge, multiple gear/bottle mounts","Topstone Carbon, 1-1/8"" to 1.5"" steerer, 55mm OutFront offset, flat mount disc, internal routing, 12x100 thru-axle, triple bottle/gear mounts, fender mounts","Integrated, Carbon, 1-1/8"" - 1-1/2""",SRAM Force eTap AXS,"SRAM Force eTap AXS Wide, braze-on","SRAM Force eTap AXS, 12-speed","SRAM Force, 12-speed","SRAM Force Wide, 43/30","SRAM XG-1270, 10-36, 12-speed",SRAM DUB BSA Road 68 Wide,"SRAM Force eTap AXS hydraulic disc, 160/160mm CenterLine centerlock rotors",SRAM Force eTap AXS,,,"HollowGram G-SL 27 Carbon, 700c, 27mm internal width, 21mm deep, 28h, hookless, tubeless compatible",DT Swiss Aerolite,45,700c,"WTB Vulpine TCS Light, 700x40c, tubeless ready (Europe/UK - Vittoria Terreno Dry 700x38c ANT tubeless compatible)","WTB Vulpine TCS Light, 700x40c, tubeless ready (Europe/UK - Vittoria Terreno Dry 700x38c ANT tubeless compatible)","WTB Vulpine TCS Light, 700x40c, tubeless ready (Europe/UK - Vittoria Terreno Dry 700x38c ANT tubeless compatible)",FSA K-Wing AGX Carbon,"FSA SL-K Stem, Alloy, -6°","Fizik Solocush Soft, 3mm","Fizik Terra Argo X3, kium rails","SAVE Carbon SmartSense, 27.2, 350mm (XS-L), 400mm (XL)",Cannondale Wheel Sensor,"SmartSense with Lights, Garmin Varia Radar and Trainer-compatible thru-axle",https://embed.widencdn.net/img/dorelrl/1hnvhqlhxh/800px@1x/C22_C15052U_Topstone_Crb_1_RLE_BPL_D3.jpg?color=f2eff7&q=90,"(F) HollowGram, sealed bearing 12x100mm, centerlock / (R) HollowGram 12x142mm w/ DT Swiss 240 EXP internals, centerlock",WARNING - INGESTION HAZARD: This product contains a button cell or coin battery. DEATH or serious injury can occur if ingested. A swallowed button cell or coin battery can cause Internal Chemical Burns in as little as 2 hours. KEEP new and used batteries OUT OF REACH OF CHILDREN. Seek immediate medical attention if a battery is suspected to be swallowed or inserted inside any part of the body.,,,,,,,
Moterra Neo,Moterra Carbon 2,"$7,750",Alpine,C65221M SMU,"160mm travel, BallisTec Carbon Front Triangle, SmartForm C1 Alloy Swingarm, Proportional Response Tuned Suspension, removable downtube battery, alloy skid plate, Ai offset drivetrain, internal cable routing, 148x12mm thru-axle, post mount brake, tapered headtube","RockShox Zeb Select, Charger RC, 160mm, DebonAir, 15x110, 51mm offset","Integrated Sealed Bearing, Tapered",SRAM GX Eagle,,"SRAM NX Eagle, single click, 12-speed","SRAM NX Eagle, 12-speed","FSA Bosch E-bike w/ custom Ai offset, 160mm, 34T","SRAM XG-1275 Eagle, 10-52, 12-speed",,"Magura MT5 4-piston hydraulic disc, Magura MDR-P 220/203mm, 6-bolt rotors",Magura MT5 Trail HC hydraulic disc,"Formula, 15x110mm","SRAM MTH 700, 12x148, XD Driver","WTB ST i29 TCS, 32h, tubeless ready",DT Swiss Champion,2.6in,29,"(F) Maxxis Assegai, 27.5/29x2.6"", dual compound, EXO, tubeless ready / (R) Maxxis DHR II, 27.5/29x2.6"", 3C, EXO+, tubeless ready","Maxxis Assegai, 27.5/29x2.6"", dual compount, EXO, tubeless ready","Maxxis DHR II, 27.5/29x2.6"", 3C, EXO+, tubeless ready","Cannondale 3 Riser, 6061 Alloy, 15mm rise, 8° sweep, 4° rise, 780mm","Cannondale 1, 3D Forged 6061 Alloy, 1-1/8"", 31.8, 7°",Fabric FunGuy,"Fabric Scoop Shallow Sport, steel rails","Cannondale DownLow Dropper, internal routing, 31.6, 100mm (S), 125mm (M), 150mm (L-XL)",,Pre-installed light cables,https://embed.widencdn.net/img/dorelrl/d8vee3v25j/800px@1x/C21_C65221M_Moterra_Neo_Crb_ALP_3Q.jpg?color=fafafa&q=90,,,"RockShox Deluxe Select R, DebonAir",Bosch Performance Line CX 250W,"Bosch PowerTube, 625Wh",Bosch 4A,Bosch Purion,UL2849,Disc
Topstone Neo,Topstone Neo Carbon 2,"$7,250",Black Pearl,C62271M,"Topstone Neo Carbon Frame, removable downtube battery, Kingpin suspension system, 12x148 thru-axle, dropper post compatible","Topstone Neo Carbon, 1-1/8"" to 1.5"" steerer, 55mm OutFront offset, flat mount disc, internal routing, 12x110 thru axle","Integrated, 1.5"" lower to 1-1/8"" upper, 25mm Alloy top cap","Shimano GRX 810, Shadow RD+","Shimano GRX 800, braze-on","Shimano GRX 800, 2x11","Shimano HG701, 11-speed","FSA Bosch E-Bike, 48/32","Shimano 105, 11-34, 11-speed",,"Shimano GRX hydraulic disc, 180/160mm RT64 rotors",Shimano GRX hydraulic disc,"Formula cartridge bearing, centerlock, 12x110mm thru-axle","Formula cartridge bearing, Centerlock, 12x148mm thru-axle","WTB KOM Light i23 TCS, 28h, tubeless ready","Stainless Steel, 14g",37,700c,"WTB Riddler TCS Light, 700x37c, tubeless ready",,,"Cannondale 3, butted 6061 alloy, 16 deg flare drop","Cannondale, 6061 Alloy, 31.8, 7°","Cannondale Bar Tape, 3.5mm","Fizik New Aliante R3, 150mm width, K:ium rails","Promax SP-9032, Carbon, 27.2",Cannondale Wheel Sensor,Removable fender bridge,https://embed.widencdn.net/img/dorelrl/bneepj3bj1/800px@1x/C21_C62271M_Topstone_Neo_Crb_BPL_D9.jpg?color=f2eff7&q=90,,WARNING - INGESTION HAZARD: This product contains a button cell or coin battery. DEATH or serious injury can occur if ingested. A swallowed button cell or coin battery can cause Internal Chemical Burns in as little as 2 hours. KEEP new and used batteries OUT OF REACH OF CHILDREN. Seek immediate medical attention if a battery is suspected to be swallowed or inserted inside any part of the body.,,Bosch Performance Line Speed 250W (28mph),"Bosch PowerTube, 500Wh",Bosch 4A,Bosch Kiox,,Disc
